order_id,product_id,sales_date,quantity_sold,unit_price,total_sales
1,15,2024-01-02,10,32.44,324.4
2,17,2024-01-03,9,83.51,751.59
3,12,2024-01-04,1,90.59,90.59
4,15,2024-01-05,8,53.74,429.92
5,20,2024-01-06,9,83.17,748.53
6,4,2024-01-07,7,31.89,223.23
7,20,2024-01-08,4,93.93,375.72
8,5,2024-01-09,10,54.27,542.7
9,18,2024-01-10,7,47.09,329.63
10,9,2024-01-11,1,80.67,80.67
11,5,2024-01-12,4,65.12,260.48
12,20,2024-01-13,9,25.0,225.0
13,7,2024-01-14,2,60.07,120.14
14,12,2024-01-15,3,67.0,201.0
15,13,2024-01-16,10,75.56,755.6
16,16,2024-01-17,7,77.93,545.51
17,9,2024-01-18,2,80.7,161.4
18,3,2024-01-19,6,40.13,240.78
19,4,2024-01-20,1,51.83,51.83
20,15,2024-01-21,1,69.61,69.61
21,11,2024-01-22,8,59.66,477.28
22,3,2024-01-23,4,26.55,106.2
23,11,2024-01-24,10,33.48,334.8
24,7,2024-01-25,3,38.65,115.95
25,12,2024-01-26,9,40.22,361.98
26,8,2024-01-27,10,54.21,542.1
27,15,2024-01-28,2,90.28,180.56
28,5,2024-01-29,4,49.76,199.04
29,10,2024-01-30,2,43.33,86.66
30,10,2024-01-31,4,87.62,350.48
31,4,2024-02-01,4,70.22,280.88
32,9,2024-02-02,1,74.0,74.0
33,4,2024-02-03,2,37.19,74.38
34,20,2024-02-04,4,80.14,320.56
35,6,2024-02-05,7,86.76,607.32
36,5,2024-02-06,3,81.14,243.42
37,8,2024-02-07,4,99.06,396.24
38,19,2024-02-08,3,85.02,255.06
39,3,2024-02-09,1,28.47,28.47
40,11,2024-02-10,6,78.82,472.92
41,17,2024-02-11,1,47.51,47.51
42,12,2024-02-12,8,44.17,353.36
43,17,2024-02-13,3,35.74,107.22
44,1,2024-02-14,3,52.4,157.2
45,6,2024-02-15,9,24.39,219.51
46,9,2024-02-16,5,91.76,458.8
47,15,2024-02-17,9,48.96,440.64
48,5,2024-02-18,10,34.0,340.0
49,8,2024-02-19,5,38.75,193.75
50,9,2024-02-20,6,64.23,385.38
